benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
adder;map_resub_l4_det_map_resub;0;root;1020;255;0;1020;255
adder;map_resub_l4_det_map_resub;1;mig_mapper;384;129;0.05292094;1020;255
adder;map_resub_l4_det_map_resub;2;mig_resub;384;129;0.001398159;1020;255
adder;map_resub_l4_det_map_resub;3;mig_mapper;384;129;0.005612333;1020;255
adder;map_resub_l4_det_map_resub;4;mig_resub;384;129;0.001388746;1020;255
adder;map_resub_l4_det_map_resub;5;mig_mapper;384;129;0.005070365;1020;255
adder;map_resub_l4_det_map_resub;6;mig_resub;384;129;0.001382965;1020;255
adder;map_resub_l4_det_map_resub;7;mig_mapper;384;129;0.005064994;1020;255
adder;map_resub_l4_det_map_resub;8;mig_resub;384;129;0.001399036;1020;255
adder;map_resub_l4_det_map_resub;9;mig_det_randomize;384;129;0.0;1020;255
adder;map_resub_l4_det_map_resub;10;mig_mapper;384;129;0.005016297;1020;255
adder;map_resub_l4_det_map_resub;11;mig_resub;384;129;0.001387207;1020;255
adder;map_resub_l4_det_map_resub;12;end;384;129;0.0;1020;255
router;map_resub_l4_det_map_resub;0;root;257;54;0;257;54
router;map_resub_l4_det_map_resub;1;mig_mapper;218;47;0.01839055;257;54
router;map_resub_l4_det_map_resub;2;mig_resub;203;47;0.002388248;257;54
router;map_resub_l4_det_map_resub;3;mig_mapper;194;46;0.008494993;257;54
router;map_resub_l4_det_map_resub;4;mig_resub;192;46;0.002084658;257;54
router;map_resub_l4_det_map_resub;5;mig_mapper;191;42;0.007304879;257;54
router;map_resub_l4_det_map_resub;6;mig_resub;187;42;0.002107732;257;54
router;map_resub_l4_det_map_resub;7;mig_mapper;184;42;0.00706675;257;54
router;map_resub_l4_det_map_resub;8;mig_resub;183;42;0.002212064;257;54
router;map_resub_l4_det_map_resub;9;mig_det_randomize;183;42;0.0;257;54
router;map_resub_l4_det_map_resub;10;mig_mapper;183;40;0.007140295;257;54
router;map_resub_l4_det_map_resub;11;mig_resub;183;40;0.002187061;257;54
router;map_resub_l4_det_map_resub;12;end;183;40;0.0;257;54
