benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
i2c;map_resub_l6;11;mig_mapper;1113;12;0.031138005;1342;20
i2c;map_resub_l6;12;mig_resub;1110;12;0.022232626;1342;20
i2c;map_resub_l6;13;end;1110;12;0.0;1342;20
bar;map_resub_l6;0;root;3336;12;0;3336;12
bar;map_resub_l6;1;mig_mapper;2693;13;0.16436799;3336;12
bar;map_resub_l6;2;mig_resub;2598;14;0.04935183;3336;12
bar;map_resub_l6;3;mig_mapper;2592;13;0.07387032;3336;12
bar;map_resub_l6;4;mig_resub;2592;13;0.048950274;3336;12
bar;map_resub_l6;5;mig_mapper;2588;13;0.07059568;3336;12
bar;map_resub_l6;6;mig_resub;2588;13;0.048358314;3336;12
bar;map_resub_l6;7;mig_mapper;2584;13;0.06552233;3336;12
bar;map_resub_l6;8;mig_resub;2584;13;0.04818989;3336;12
bar;map_resub_l6;9;mig_mapper;2580;13;0.07164082;3336;12
bar;map_resub_l6;10;mig_resub;2580;13;0.047378346;3336;12
bar;map_resub_l6;11;mig_mapper;2576;13;0.0701667;3336;12
bar;map_resub_l6;12;mig_resub;2576;13;0.0476793;3336;12
bar;map_resub_l6;13;end;2576;13;0.0;3336;12
max;map_resub_l6;0;root;2865;287;0;2865;287
max;map_resub_l6;1;mig_mapper;2413;158;0.36813068;2865;287
max;map_resub_l6;2;mig_resub;2412;158;0.020409722;2865;287
max;map_resub_l6;3;mig_mapper;2283;167;0.22530533;2865;287
max;map_resub_l6;4;mig_resub;2283;167;0.018588636;2865;287
max;map_resub_l6;5;mig_mapper;2272;159;0.15541133;2865;287
max;map_resub_l6;6;mig_resub;2264;159;0.017661883;2865;287
max;map_resub_l6;7;mig_mapper;2244;171;0.15185018;2865;287
max;map_resub_l6;8;mig_resub;2244;171;0.017665587;2865;287
max;map_resub_l6;9;mig_mapper;2220;161;0.15712516;2865;287
max;map_resub_l6;10;mig_resub;2219;161;0.016733496;2865;287
max;map_resub_l6;11;mig_mapper;2185;168;0.20529819;2865;287
max;map_resub_l6;12;mig_resub;2183;168;0.017104574;2865;287
max;map_resub_l6;13;end;2183;168;0.0;2865;287
voter;map_resub_l6;0;root;13758;70;0;13758;70
voter;map_resub_l6;1;mig_mapper;7219;54;1.1764692;13758;70
voter;map_resub_l6;2;mig_resub;5990;60;0.12532665;13758;70
voter;map_resub_l6;3;mig_mapper;5032;48;0.28115585;13758;70
voter;map_resub_l6;4;mig_resub;4557;51;0.037503615;13758;70
voter;map_resub_l6;5;mig_mapper;4417;47;0.15488903;13758;70
voter;map_resub_l6;6;mig_resub;4225;47;0.022827923;13758;70
voter;map_resub_l6;7;mig_mapper;4172;45;0.16310517;13758;70
voter;map_resub_l6;8;mig_resub;4155;45;0.02008831;13758;70
voter;map_resub_l6;9;mig_mapper;4137;45;0.20902269;13758;70
voter;map_resub_l6;10;mig_resub;4125;44;0.019723732;13758;70
voter;map_resub_l6;11;mig_mapper;4116;43;0.16573931;13758;70
voter;map_resub_l6;12;mig_resub;4113;43;0.019185634;13758;70
voter;map_resub_l6;13;end;4113;43;0.0;13758;70
square;map_resub_l6;0;root;18484;250;0;18484;250
square;map_resub_l6;1;mig_mapper;12176;126;1.7283953;18484;250
square;map_resub_l6;2;mig_resub;9893;126;0.19188054;18484;250
square;map_resub_l6;3;mig_mapper;9492;126;0.27366206;18484;250
square;map_resub_l6;4;mig_resub;9148;126;0.06783158;18484;250
square;map_resub_l6;5;mig_mapper;9119;126;0.20215654;18484;250
square;map_resub_l6;6;mig_resub;9079;126;0.056922223;18484;250
