benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
router;map_resub_l5;0;root;257;54;0;257;54
router;map_resub_l5;1;mig_mapper;218;47;0.018218525;257;54
router;map_resub_l5;2;mig_resub;203;47;0.002412336;257;54
router;map_resub_l5;3;mig_mapper;194;46;0.008533796;257;54
router;map_resub_l5;4;mig_resub;192;46;0.00211472;257;54
router;map_resub_l5;5;mig_mapper;191;43;0.007295751;257;54
router;map_resub_l5;6;mig_resub;187;43;0.002103133;257;54
router;map_resub_l5;7;mig_mapper;184;41;0.006061373;257;54
router;map_resub_l5;8;mig_resub;183;41;0.00222355;257;54
router;map_resub_l5;9;mig_mapper;184;41;0.006106182;257;54
router;map_resub_l5;10;mig_resub;183;41;0.00222029;257;54
router;map_resub_l5;11;end;183;41;0.0;257;54
adder;map_resub_l5;0;root;1020;255;0;1020;255
adder;map_resub_l5;1;mig_mapper;384;129;0.05391942;1020;255
adder;map_resub_l5;2;mig_resub;384;129;0.001407633;1020;255
adder;map_resub_l5;3;mig_mapper;384;129;0.005596956;1020;255
adder;map_resub_l5;4;mig_resub;384;129;0.001395282;1020;255
adder;map_resub_l5;5;mig_mapper;384;129;0.005082526;1020;255
adder;map_resub_l5;6;mig_resub;384;129;0.001380354;1020;255
adder;map_resub_l5;7;mig_mapper;384;129;0.005039569;1020;255
adder;map_resub_l5;8;mig_resub;384;129;0.001382538;1020;255
adder;map_resub_l5;9;mig_mapper;384;129;0.005016415;1020;255
adder;map_resub_l5;10;mig_resub;384;129;0.001402698;1020;255
adder;map_resub_l5;11;end;384;129;0.0;1020;255
dec;map_resub_l5;0;root;304;3;0;304;3
dec;map_resub_l5;1;mig_mapper;304;3;0.010813565;304;3
dec;map_resub_l5;2;mig_resub;304;3;0.004815273;304;3
dec;map_resub_l5;3;mig_mapper;304;3;0.010471026;304;3
dec;map_resub_l5;4;mig_resub;304;3;0.005172251;304;3
dec;map_resub_l5;5;mig_mapper;304;3;0.010502228;304;3
dec;map_resub_l5;6;mig_resub;304;3;0.005063542;304;3
dec;map_resub_l5;7;mig_mapper;304;3;0.009940607;304;3
dec;map_resub_l5;8;mig_resub;304;3;0.005065482;304;3
dec;map_resub_l5;9;mig_mapper;304;3;0.010164524;304;3
dec;map_resub_l5;10;mig_resub;304;3;0.005181844;304;3
dec;map_resub_l5;11;end;304;3;0.0;304;3
priority;map_resub_l5;0;root;978;250;0;978;250
priority;map_resub_l5;1;mig_mapper;908;124;0.05612742;978;250
priority;map_resub_l5;2;mig_resub;640;123;0.005937368;978;250
priority;map_resub_l5;3;mig_mapper;629;122;0.022947501;978;250
priority;map_resub_l5;4;mig_resub;464;123;0.005179508;978;250
priority;map_resub_l5;5;mig_mapper;465;103;0.012692398;978;250
priority;map_resub_l5;6;mig_resub;461;103;0.002799937;978;250
priority;map_resub_l5;7;mig_mapper;461;103;0.012054858;978;250
priority;map_resub_l5;8;mig_resub;460;103;0.002610433;978;250
priority;map_resub_l5;9;mig_mapper;460;103;0.011729207;978;250
priority;map_resub_l5;10;mig_resub;458;103;0.002735171;978;250
priority;map_resub_l5;11;end;458;103;0.0;978;250
ctrl;map_resub_l5;0;root;174;10;0;174;10
ctrl;map_resub_l5;1;mig_mapper;115;5;0.008433426;174;10
ctrl;map_resub_l5;2;mig_resub;76;9;0.0648511;174;10
ctrl;map_resub_l5;3;mig_mapper;76;8;0.002759063;174;10
ctrl;map_resub_l5;4;mig_resub;73;11;0.055608135;174;10
ctrl;map_resub_l5;5;mig_mapper;73;10;0.002385805;174;10
ctrl;map_resub_l5;6;mig_resub;73;10;0.0377129;174;10
ctrl;map_resub_l5;7;mig_mapper;73;10;0.002203404;174;10
ctrl;map_resub_l5;8;mig_resub;73;10;0.037786365;174;10
ctrl;map_resub_l5;9;mig_mapper;73;10;0.002312807;174;10
ctrl;map_resub_l5;10;mig_resub;73;10;0.037977636;174;10
ctrl;map_resub_l5;11;end;73;10;0.0;174;10
int2float;map_resub_l5;0;root;260;16;0;260;16
int2float;map_resub_l5;1;mig_mapper;235;11;0.01192154;260;16
int2float;map_resub_l5;2;mig_resub;199;10;0.08503303;260;16
int2float;map_resub_l5;3;mig_mapper;194;10;0.00675391;260;16
int2float;map_resub_l5;4;mig_resub;192;10;0.02534922;260;16
int2float;map_resub_l5;5;mig_mapper;191;10;0.006037192;260;16
int2float;map_resub_l5;6;mig_resub;191;10;0.028260276;260;16
int2float;map_resub_l5;7;mig_mapper;191;10;0.005981442;260;16
int2float;map_resub_l5;8;mig_resub;191;10;0.02929329;260;16
