benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
adder;map_resub_l3;0;root;1020;255;0;1020;255
adder;map_resub_l3;1;mig_mapper;384;129;0.052915048;1020;255
adder;map_resub_l3;2;mig_resub;384;129;0.001410578;1020;255
adder;map_resub_l3;3;mig_mapper;384;129;0.005668476;1020;255
adder;map_resub_l3;4;mig_resub;384;129;0.001397485;1020;255
adder;map_resub_l3;5;mig_mapper;384;129;0.005177274;1020;255
adder;map_resub_l3;6;mig_resub;384;129;0.001407081;1020;255
adder;map_resub_l3;7;end;384;129;0.0;1020;255
dec;map_resub_l3;0;root;304;3;0;304;3
dec;map_resub_l3;1;mig_mapper;304;3;0.010798105;304;3
dec;map_resub_l3;2;mig_resub;304;3;0.005237836;304;3
dec;map_resub_l3;3;mig_mapper;304;3;0.010468369;304;3
dec;map_resub_l3;4;mig_resub;304;3;0.005218251;304;3
dec;map_resub_l3;5;mig_mapper;304;3;0.010530958;304;3
dec;map_resub_l3;6;mig_resub;304;3;0.005052939;304;3
dec;map_resub_l3;7;end;304;3;0.0;304;3
priority;map_resub_l3;0;root;978;250;0;978;250
priority;map_resub_l3;1;mig_mapper;908;124;0.056478985;978;250
priority;map_resub_l3;2;mig_resub;640;123;0.005990145;978;250
priority;map_resub_l3;3;mig_mapper;630;122;0.02298834;978;250
priority;map_resub_l3;4;mig_resub;465;123;0.005217373;978;250
priority;map_resub_l3;5;mig_mapper;465;103;0.01269314;978;250
priority;map_resub_l3;6;mig_resub;460;103;0.002726456;978;250
priority;map_resub_l3;7;end;460;103;0.0;978;250
router;map_resub_l3;0;root;257;54;0;257;54
router;map_resub_l3;1;mig_mapper;218;47;0.01837721;257;54
router;map_resub_l3;2;mig_resub;203;47;0.00240109;257;54
router;map_resub_l3;3;mig_mapper;194;46;0.00848982;257;54
router;map_resub_l3;4;mig_resub;192;46;0.002081948;257;54
router;map_resub_l3;5;mig_mapper;191;42;0.01035345;257;54
router;map_resub_l3;6;mig_resub;187;42;0.002897695;257;54
router;map_resub_l3;7;end;187;42;0.0;257;54
ctrl;map_resub_l3;0;root;174;10;0;174;10
ctrl;map_resub_l3;1;mig_mapper;115;5;0.008474233;174;10
ctrl;map_resub_l3;2;mig_resub;76;9;0.06536474;174;10
ctrl;map_resub_l3;3;mig_mapper;76;8;0.002766097;174;10
ctrl;map_resub_l3;4;mig_resub;73;11;0.055362888;174;10
ctrl;map_resub_l3;5;mig_mapper;73;10;0.00237344;174;10
ctrl;map_resub_l3;6;mig_resub;73;10;0.037740655;174;10
ctrl;map_resub_l3;7;end;73;10;0.0;174;10
int2float;map_resub_l3;0;root;260;16;0;260;16
int2float;map_resub_l3;1;mig_mapper;235;11;0.011883929;260;16
int2float;map_resub_l3;2;mig_resub;199;10;0.08500233;260;16
int2float;map_resub_l3;3;mig_mapper;194;10;0.006722128;260;16
int2float;map_resub_l3;4;mig_resub;192;10;0.025522275;260;16
int2float;map_resub_l3;5;mig_mapper;191;10;0.006000067;260;16
int2float;map_resub_l3;6;mig_resub;191;10;0.028210772;260;16
int2float;map_resub_l3;7;end;191;10;0.0;260;16
