benchmark;flow;size;size_mig;depth;depth_mig;runtime
router;map_resub_l2_det_map_resub;257;192;54;42;0.040937237
adder;map_resub_l2_det_map_resub;1020;384;255;129;0.06897541
dec;map_resub_l2_det_map_resub;304;304;3;3;0.047098294
priority;map_resub_l2_det_map_resub;978;461;250;123;0.10755577
ctrl;map_resub_l2_det_map_resub;174;73;10;10;0.17359224
int2float;map_resub_l2_det_map_resub;260;191;16;10;0.16573702
i2c;map_resub_l2_det_map_resub;1342;1113;20;11;0.23894197
bar;map_resub_l2_det_map_resub;3336;2572;12;13;0.44658762
max;map_resub_l2_det_map_resub;2865;2274;287;162;0.80743784
voter;map_resub_l2_det_map_resub;13758;4217;70;50;1.7399395
square;map_resub_l2_det_map_resub;18484;9076;250;126;2.488112
arbiter;map_resub_l2_det_map_resub;11839;6866;87;60;3.485248
sqrt;map_resub_l2_det_map_resub;24618;12768;5058;2330;4.091855
multiplier;map_resub_l2_det_map_resub;27062;19089;274;149;5.2985196
sin;map_resub_l2_det_map_resub;5416;4138;225;126;6.8992577
log2;map_resub_l2_det_map_resub;32060;24232;444;203;6.9413013
cavlc;map_resub_l2_det_map_resub;693;530;16;13;9.983889
div;map_resub_l2_det_map_resub;57247;40340;4372;2752;10.28445
mem_ctrl;map_resub_l2_det_map_resub;46836;38718;114;97;11.481473
hyp;map_resub_l2_det_map_resub;214335;123732;24801;8869;31.565092
