benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l6;1020;384;255;129;0.08644631
router;map_resub_l6;257;183;54;41;0.06817336
priority;map_resub_l6;978;458;250;103;0.14894901
dec;map_resub_l6;304;304;3;3;0.10897904
int2float;map_resub_l6;260;191;16;10;0.26647514
ctrl;map_resub_l6;174;73;10;10;0.29405883
i2c;map_resub_l6;1342;1110;20;12;0.40202656
bar;map_resub_l6;3336;2576;12;13;0.8060718
max;map_resub_l6;2865;2183;287;168;1.3712848
voter;map_resub_l6;13758;4113;70;43;2.395037
square;map_resub_l6;18484;9064;250;126;3.2482252
sqrt;map_resub_l6;24618;12637;5058;2329;5.3502374
arbiter;map_resub_l6;11839;6866;87;60;5.918582
multiplier;map_resub_l6;27062;19086;274;149;8.409145
sin;map_resub_l6;5416;4133;225;128;10.307403
log2;map_resub_l6;32060;24106;444;205;11.490023
div;map_resub_l6;57247;38744;4372;2752;15.582209
cavlc;map_resub_l6;693;527;16;13;21.4768
mem_ctrl;map_resub_l6;46836;38705;114;97;19.969202
hyp;map_resub_l6;214335;123750;24801;8911;42.09466
