benchmark;flow;size;size_mig;depth;depth_mig;runtime
router;map_resub_l3;257;187;54;42;0.040413942
dec;map_resub_l3;304;304;3;3;0.047600348
adder;map_resub_l3;1020;384;255;129;0.06839507
priority;map_resub_l3;978;461;250;103;0.10691089
ctrl;map_resub_l3;174;73;10;10;0.1730909
int2float;map_resub_l3;260;191;16;10;0.16263455
i2c;map_resub_l3;1342;1119;20;11;0.23949757
bar;map_resub_l3;3336;2588;12;13;0.45199317
max;map_resub_l3;2865;2264;287;159;0.7967016
voter;map_resub_l3;13758;4225;70;47;1.7208997
square;map_resub_l3;18484;9079;250;126;2.655279
arbiter;map_resub_l3;11839;6866;87;60;3.4571762
sqrt;map_resub_l3;24618;12691;5058;2371;3.9314976
sin;map_resub_l3;5416;4136;225;128;4.929077
multiplier;map_resub_l3;27062;19087;274;149;5.228573
log2;map_resub_l3;32060;24114;444;206;6.963944
cavlc;map_resub_l3;693;535;16;13;10.712361
div;map_resub_l3;57247;39464;4372;2753;9.854704
mem_ctrl;map_resub_l3;46836;38940;114;96;11.459658
hyp;map_resub_l3;214335;123756;24801;8911;29.706282
