benchmark;flow;size;size_mig;depth;depth_mig;runtime
dec;map_resub_l3;304;304;3;3;0.04476988
adder;map_resub_l3;1020;384;255;129;0.06033458
priority;map_resub_l3;978;460;250;103;0.110638715
ctrl;map_resub_l3;174;73;10;10;0.17266488
int2float;map_resub_l3;260;191;16;10;0.24709222
router;map_resub_l3;257;187;54;43;0.05197046
i2c;map_resub_l3;1342;1123;20;11;0.32593456
bar;map_resub_l3;3336;2588;12;13;0.43105143
max;map_resub_l3;2865;2264;287;159;0.7759039
voter;map_resub_l3;13758;4225;70;47;1.6741863
square;map_resub_l3;18484;9079;250;126;2.386168
arbiter;map_resub_l3;11839;6866;87;60;3.3992395
sqrt;map_resub_l3;24618;12691;5058;2371;3.8877382
sin;map_resub_l3;5416;4137;225;127;4.858589
multiplier;map_resub_l3;27062;19087;274;149;5.1993895
log2;map_resub_l3;32060;24100;444;206;6.4957414
cavlc;map_resub_l3;693;534;16;13;10.788434
div;map_resub_l3;57247;39463;4372;2752;9.365488
mem_ctrl;map_resub_l3;46836;38907;114;96;11.367214
hyp;map_resub_l3;214335;123756;24801;8911;29.278454
