benchmark;flow;size;size_mig;depth;depth_mig;runtime
dec;map_resub_l2;304;304;3;3;0.030230474
adder;map_resub_l2;1020;384;255;129;0.057206027
ctrl;map_resub_l2;174;73;10;11;0.13107994
router;map_resub_l2;257;192;54;46;0.042877484
i2c;map_resub_l2;1342;1133;20;13;0.20100819
bar;map_resub_l2;3336;2592;12;13;0.310352
int2float;map_resub_l2;260;192;16;10;0.21742488
priority;map_resub_l2;978;465;250;123;0.14826147
max;map_resub_l2;2865;2283;287;167;0.62670755
voter;map_resub_l2;13758;4557;70;51;1.5504831
square;map_resub_l2;18484;9148;250;126;2.0869362
arbiter;map_resub_l2;11839;6866;87;61;2.5580666
sin;map_resub_l2;5416;4138;225;130;3.439004
sqrt;map_resub_l2;24618;12863;5058;2375;3.3062534
multiplier;map_resub_l2;27062;19084;274;149;3.878442
log2;map_resub_l2;32060;24103;444;209;4.9952283
cavlc;map_resub_l2;693;539;16;13;6.9725857
div;map_resub_l2;57247;40158;4372;3090;7.943894
mem_ctrl;map_resub_l2;46836;39310;114;99;8.521489
hyp;map_resub_l2;214335;123789;24801;8933;25.504086
