benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l80;1020;384;255;129;0.49855083
router;map_resub_l80;257;183;54;41;0.6385315
priority;map_resub_l80;978;455;250;103;1.1181577
dec;map_resub_l80;304;304;3;3;1.154614
int2float;map_resub_l80;260;191;16;10;2.7761867
ctrl;map_resub_l80;174;73;10;10;3.2669277
i2c;map_resub_l80;1342;1111;20;11;4.1400695
bar;map_resub_l80;3336;2472;12;14;8.180335
max;map_resub_l80;2865;2164;287;163;12.913392
voter;map_resub_l80;13758;4108;70;41;12.833319
square;map_resub_l80;18484;9064;250;126;19.91542
sqrt;map_resub_l80;24618;12641;5058;2327;35.574127
arbiter;map_resub_l80;11839;6866;87;60;64.69099
multiplier;map_resub_l80;27062;19086;274;149;83.68161
log2;map_resub_l80;32060;24090;444;204;112.97428
sin;map_resub_l80;5416;4130;225;127;136.45398
div;map_resub_l80;57247;38683;4372;2753;135.78969
mem_ctrl;map_resub_l80;46836;38635;114;97;214.46954
cavlc;map_resub_l80;693;526;16;13;288.2805
hyp;map_resub_l80;214335;123750;24801;8911;325.67142
