benchmark;flow;size;size_mig;depth;depth_mig;runtime
arbiter;cr_mapper;11839;6996;87;59;99.025826
cavlc;cr_mapper;693;623;16;13;3.7672148
ctrl;cr_mapper;174;114;10;5;0.6388127
dec;cr_mapper;304;304;3;3;0.14488563
arbiter;mig_resub_map;11839;6866;87;60;64.27164
i2c;cr_mapper;1342;1217;20;12;6.237933
int2float;cr_mapper;260;223;16;10;1.0714957
mem_ctrl;cr_mapper;46836;41267;114;94;333.83963
priority;cr_mapper;978;808;250;117;5.640543
router;cr_mapper;257;207;54;43;1.3970286
voter;cr_mapper;13758;5802;70;49;59.684788
cavlc;mig_resub_map;693;529;16;13;731.36096
ctrl;mig_resub_map;174;75;10;9;16.868942
dec;mig_resub_map;304;304;3;3;0.17782247
i2c;mig_resub_map;1342;1121;20;12;12.477413
int2float;mig_resub_map;260;197;16;10;10.072723
mem_ctrl;mig_resub_map;46836;38911;114;97;1023.2348
priority;mig_resub_map;978;542;250;117;4.3713274
router;mig_resub_map;257;190;54;42;1.2921733
voter;mig_resub_map;13758;4266;70;48;38.470833
adder;mig_resub_map_ext;1020;384;255;129;2.2356298
adder;mig_resub;1020;888;255;253;1.6058223
bar;mig_resub;3336;2888;12;14;11.916449
bar;mig_resub_map_ext;3336;2479;12;14;34.202225
adder;mig_resub_map2;1020;384;255;129;0.8269903
bar;mig_resub_map2;3336;2496;12;14;27.369041
div;mig_resub;57247;42207;4372;3195;351.31696
div;mig_resub_map_ext;57247;40601;4372;2433;587.8541
div;mig_resub_map2;57247;35221;4372;2201;589.521
hyp;mig_resub_map2;214335;124005;24801;8884;579.5841
log2;mig_resub_map2;32060;24119;444;210;154.93939
max;mig_resub_map2;2865;2168;287;162;20.118814
multiplier;mig_resub_map2;27062;19150;274;149;115.47983
sin;mig_resub_map2;5416;4149;225;123;323.39734
hyp;mig_resub;214335;187170;24801;9499;1250.9932
log2;mig_resub;32060;29978;444;450;196.06693
max;mig_resub;2865;2838;287;287;9.750747
multiplier;mig_resub;27062;25339;274;274;183.36061
sqrt;mig_resub_map2;24618;12964;5058;2297;642.5745
square;mig_resub_map2;18484;9150;250;126;71.68629
arbiter;mig_resub_map2;11839;6866;87;60;76.88336
hyp;mig_resub_map_ext;214335;124026;24801;8861;1954.1592
sin;mig_resub;5416;5075;225;221;725.4083
sqrt;mig_resub;24618;18453;5058;5293;84.73427
square;mig_resub;18484;16950;250;241;104.54123
arbiter;mig_resub;11839;11711;87;87;62.03308
log2;mig_resub_map_ext;32060;24798;444;219;470.11227
max;mig_resub_map_ext;2865;2231;287;159;38.99849
cavlc;mig_resub;693;575;16;18;448.85764
ctrl;mig_resub;174;74;10;11;7.523073
dec;mig_resub;304;304;3;3;0.10000329
i2c;mig_resub;1342;1213;20;20;6.995275
int2float;mig_resub;260;214;16;16;8.63136
multiplier;mig_resub_map_ext;27062;20038;274;161;374.9759
mem_ctrl;mig_resub;46836;42170;114;115;398.15353
priority;mig_resub;978;468;250;126;3.155742
router;mig_resub;257;246;54;54;1.0031381
voter;mig_resub;13758;8083;70;80;48.604263
cavlc;mig_resub_map2;693;529;16;13;1584.649
ctrl;mig_resub_map2;174;75;10;9;17.35378
dec;mig_resub_map2;304;304;3;3;0.18325378
i2c;mig_resub_map2;1342;1121;20;12;12.8307085
int2float;mig_resub_map2;260;197;16;10;10.359591
sin;mig_resub_map_ext;5416;4171;225;126;1027.0173
sqrt;mig_resub_map_ext;24618;12689;5058;2251;366.34256
mem_ctrl;mig_resub_map2;46836;38907;114;97;1000.5353
priority;mig_resub_map2;978;542;250;117;4.481814
router;mig_resub_map2;257;190;54;42;1.3293343
voter;mig_resub_map2;13758;4266;70;48;39.509075
square;mig_resub_map_ext;18484;9404;250;127;145.65149
arbiter;mig_resub_map_ext;11839;6866;87;60;139.41982
cavlc;mig_resub_map_ext;693;532;16;13;747.0527
ctrl;mig_resub_map_ext;174;74;10;11;7.3460207
dec;mig_resub_map_ext;304;304;3;3;0.1826283
i2c;mig_resub_map_ext;1342;1086;20;12;17.76817
int2float;mig_resub_map_ext;260;186;16;10;10.817429
mem_ctrl;mig_resub_map_ext;46836;38928;114;99;723.5453
priority;mig_resub_map_ext;978;468;250;126;3.9360998
router;mig_resub_map_ext;257;190;54;42;2.6665058
voter;mig_resub_map_ext;13758;4917;70;46;103.67969
adder;mig_map+resub;1020;384;255;129;0.88262737
bar;mig_map+resub;3336;2496;12;14;27.878946
div;mig_map+resub;57247;35221;4372;2201;1118.6198
hyp;mig_map+resub;214335;124005;24801;8884;5640.087
log2;mig_map+resub;32060;24119;444;210;325.9482
max;mig_map+resub;2865;2168;287;162;27.804188
multiplier;mig_map+resub;27062;19150;274;149;210.44554
sin;mig_map+resub;5416;4149;225;123;279.01678
sqrt;mig_map+resub;24618;12964;5058;2297;818.81433
square;mig_map+resub;18484;9150;250;126;69.77207
arbiter;mig_map+resub;11839;4513;87;21;76.390465
cavlc;mig_map+resub;693;529;16;13;719.16895
ctrl;mig_map+resub;174;75;10;9;16.924505
dec;mig_map+resub;304;304;3;3;0.18113649
i2c;mig_map+resub;1342;1121;20;12;12.681211
int2float;mig_map+resub;260;197;16;10;10.120992
mem_ctrl;mig_map+resub;46836;38911;114;97;1207.7095
priority;mig_map+resub;978;542;250;117;4.566387
router;mig_map+resub;257;190;54;42;1.3786972
voter;mig_map+resub;13758;4266;70;48;42.080708

adder;mig_map+resub+algb2;1020;384;255;129;0.95430946
bar;mig_map+resub+algb2;3336;2496;12;14;27.11336
div;mig_map+resub+algb2;57247;35221;4372;2201;1918.3545
hyp;mig_map+resub+algb2;214335;124005;24801;8884;13191.287
log2;mig_map+resub+algb2;32060;24119;444;210;501.4085
max;mig_map+resub+algb2;2865;2168;287;162;22.045322
multiplier;mig_map+resub+algb2;27062;19150;274;149;285.56195
sin;mig_map+resub+algb2;5416;4149;225;123;269.1565
sqrt;mig_map+resub+algb2;24618;12964;5058;2297;791.1115
square;mig_map+resub+algb2;18484;9150;250;126;74.40634
