benchmark;flow;size;size_mig;depth;depth_mig;runtime
c880;map_resub_l3;5;mig_mapper;272;18;0.008172245;325;25
c880;map_resub_l3;6;mig_resub;271;18;0.001648653;325;25
c880;map_resub_l3;7;end;271;18;0.0;325;25
usb_phy;map_resub_l3;0;root;460;10;0;460;10
usb_phy;map_resub_l3;1;mig_mapper;364;7;0.04493468;460;10
usb_phy;map_resub_l3;2;mig_resub;329;8;0.050584942;460;10
usb_phy;map_resub_l3;3;mig_mapper;327;8;0.02198182;460;10
usb_phy;map_resub_l3;4;mig_resub;321;8;0.024739884;460;10
usb_phy;map_resub_l3;5;mig_mapper;322;8;0.021591462;460;10
usb_phy;map_resub_l3;6;mig_resub;321;8;0.023218103;460;10
usb_phy;map_resub_l3;7;end;321;8;0.0;460;10
i2c;map_resub_l3;0;root;1342;20;0;1342;20
i2c;map_resub_l3;1;mig_mapper;1229;13;0.110449195;1342;20
i2c;map_resub_l3;2;mig_resub;1151;13;0.13002616;1342;20
i2c;map_resub_l3;3;mig_mapper;1143;13;0.07757346;1342;20
i2c;map_resub_l3;4;mig_resub;1129;13;0.036172982;1342;20
i2c;map_resub_l3;5;mig_mapper;1124;11;0.06002704;1342;20
i2c;map_resub_l3;6;mig_resub;1119;11;0.04985349;1342;20
i2c;map_resub_l3;7;end;1119;11;0.0;1342;20
iwls05_i2c;map_resub_l3;0;root;1166;14;0;1166;14
iwls05_i2c;map_resub_l3;1;mig_mapper;998;11;0.12518567;1166;14
iwls05_i2c;map_resub_l3;2;mig_resub;899;14;0.07296639;1166;14
iwls05_i2c;map_resub_l3;3;mig_mapper;890;14;0.06593865;1166;14
iwls05_i2c;map_resub_l3;4;mig_resub;876;15;0.048564967;1166;14
iwls05_i2c;map_resub_l3;5;mig_mapper;876;12;0.06621326;1166;14
iwls05_i2c;map_resub_l3;6;mig_resub;872;12;0.03734895;1166;14
iwls05_i2c;map_resub_l3;7;end;872;12;0.0;1166;14
c1908;map_resub_l3;0;root;341;27;0;341;27
