benchmark;flow;op_num;op_type;size;depth;runtime
div;map|map|map|resub|cr-z|map|map;0;0;57247;4372;0.0
div;map|map|map|resub|cr-z|map|map;1;101;53113;2425;32.20465
div;map|map|map|resub|cr-z|map|map;2;101;45961;4067;20.83297
div;map|map|map|resub|cr-z|map|map;3;101;37047;2251;15.7486315
div;map|map|map|resub|cr-z|map|map;4;105;36479;2282;35.479237
div;map|map|map|resub|cr-z|map|map;5;104;36479;2282;17.298967
div;map|map|map|resub|cr-z|map|map;6;101;35904;2232;8.6210985
div;map|map|map|resub|cr-z|map|map;7;101;35860;2204;8.265515
div;map|map|map|resub|cr-z|map|map;8;1;35860;2204;0.0
div;map_l_1;0;0;57247;4372;0.0
div;map_l_1;1;0;57247;4372;0.0
div;map_l_1;2;3;36875;2238;0.0
div;map_l_1;3;1;36875;2238;0.0
div;map_l_3;0;0;57247;4372;0.0
div;map_l_3;1;0;57247;4372;0.0
div;map_l_3;2;3;36875;2238;0.0
div;map_l_3;3;1;36875;2238;0.0
div;map_l_5;0;0;57247;4372;0.0
div;map_l_5;1;0;57247;4372;0.0
div;map_l_5;2;3;36875;2238;0.0
div;map_l_5;3;1;36875;2238;0.0
hyp;map_l_1;0;0;214335;24801;0.0
hyp;map_l_1;1;0;214335;24801;0.0
hyp;map_l_1;2;3;137054;8885;0.0
hyp;map_l_1;3;1;137054;8885;0.0
hyp;map_l_3;0;0;214335;24801;0.0
hyp;map_l_3;1;0;214335;24801;0.0
hyp;map_l_3;2;3;137054;8885;0.0
hyp;map_l_3;3;1;137054;8885;0.0
hyp;map|map|map|resub|cr-z|map|map;0;0;214335;24801;0.0
hyp;map|map|map|resub|cr-z|map|map;1;101;138143;8956;175.21048
hyp;map|map|map|resub|cr-z|map|map;2;101;137670;8908;34.198055
hyp;map|map|map|resub|cr-z|map|map;3;101;137054;8885;38.713974
hyp;map|map|map|resub|cr-z|map|map;4;105;127223;8884;86.78756
hyp;map|map|map|resub|cr-z|map|map;5;104;127223;8884;67.86155
hyp;map|map|map|resub|cr-z|map|map;6;101;127510;8883;27.316998
hyp;map|map|map|resub|cr-z|map|map;7;101;127293;8883;27.068111
hyp;map|map|map|resub|cr-z|map|map;8;1;127293;8883;0.0
log2;map_l_1;0;0;32060;444;0.0
log2;map_l_1;1;0;32060;444;0.0
log2;map_l_1;2;3;24295;206;0.0
log2;map_l_1;3;1;24295;206;0.0
max;map_l_1;0;0;2865;287;0.0
max;map_l_1;1;0;2865;287;0.0
max;map_l_1;2;3;2171;162;0.0
max;map_l_1;3;1;2171;162;0.0
log2;map|map|map|resub|cr-z|map|map;0;0;32060;444;0.0
log2;map|map|map|resub|cr-z|map|map;1;101;24295;206;28.822153
log2;map|map|map|resub|cr-z|map|map;2;101;24329;210;9.879043
log2;map|map|map|resub|cr-z|map|map;3;101;24328;208;9.888004
log2;map|map|map|resub|cr-z|map|map;4;105;24182;208;15.832776
log2;map|map|map|resub|cr-z|map|map;5;104;24182;208;19.156898
log2;map|map|map|resub|cr-z|map|map;6;101;24196;206;9.208119
log2;map|map|map|resub|cr-z|map|map;7;101;24197;207;9.415878
log2;map|map|map|resub|cr-z|map|map;8;1;24197;207;0.0
log2;map_l_3;0;0;32060;444;0.0
log2;map_l_3;1;0;32060;444;0.0
log2;map_l_3;2;3;24295;206;0.0
log2;map_l_3;3;1;24295;206;0.0
multiplier;map_l_1;0;0;27062;274;0.0
multiplier;map_l_1;1;0;27062;274;0.0
multiplier;map_l_1;2;3;19299;142;0.0
multiplier;map_l_1;3;1;19299;142;0.0
max;map|map|map|resub|cr-z|map|map;0;0;2865;287;0.0
max;map|map|map|resub|cr-z|map|map;1;101;2413;158;4.5423636
max;map|map|map|resub|cr-z|map|map;2;101;2284;167;3.277984
max;map|map|map|resub|cr-z|map|map;3;101;2273;159;2.213273
max;map|map|map|resub|cr-z|map|map;4;105;2265;159;1.1529981
max;map|map|map|resub|cr-z|map|map;5;104;2265;159;3.7585602
max;map|map|map|resub|cr-z|map|map;6;101;2245;172;2.110155
max;map|map|map|resub|cr-z|map|map;7;101;2221;160;2.4894743
max;map|map|map|resub|cr-z|map|map;8;1;2221;160;0.0
max;map_l_3;0;0;2865;287;0.0
max;map_l_3;1;0;2865;287;0.0
max;map_l_3;2;3;2171;162;0.0
max;map_l_3;3;1;2171;162;0.0
sin;map_l_1;0;0;5416;225;0.0
sin;map_l_1;1;0;5416;225;0.0
sin;map_l_1;2;3;4196;122;0.0
sin;map_l_1;3;1;4196;122;0.0
hyp;map_l_5;0;0;214335;24801;0.0
hyp;map_l_5;1;0;214335;24801;0.0
hyp;map_l_5;2;3;137054;8885;0.0
hyp;map_l_5;3;1;137054;8885;0.0
multiplier;map|map|map|resub|cr-z|map|map;0;0;27062;274;0.0
multiplier;map|map|map|resub|cr-z|map|map;1;101;19354;143;25.005924
multiplier;map|map|map|resub|cr-z|map|map;2;101;19299;142;6.029327
multiplier;map|map|map|resub|cr-z|map|map;3;101;19306;142;6.13182
multiplier;map|map|map|resub|cr-z|map|map;4;105;19211;149;11.994017
multiplier;map|map|map|resub|cr-z|map|map;5;104;19211;149;12.867384
multiplier;map|map|map|resub|cr-z|map|map;6;101;19210;149;6.013529
multiplier;map|map|map|resub|cr-z|map|map;7;101;19210;149;5.8338356
multiplier;map|map|map|resub|cr-z|map|map;8;1;19210;149;0.0
multiplier;map_l_3;0;0;27062;274;0.0
multiplier;map_l_3;1;0;27062;274;0.0
multiplier;map_l_3;2;3;19299;142;0.0
multiplier;map_l_3;3;1;19299;142;0.0
sin;map_l_3;0;0;5416;225;0.0
sin;map_l_3;1;0;5416;225;0.0
sin;map_l_3;2;3;4196;122;0.0
sin;map_l_3;3;1;4196;122;0.0
sin;map|map|map|resub|cr-z|map|map;0;0;5416;225;0.0
sin;map|map|map|resub|cr-z|map|map;1;101;4248;127;7.655405
sin;map|map|map|resub|cr-z|map|map;2;101;4200;126;2.6837919
sin;map|map|map|resub|cr-z|map|map;3;101;4198;123;1.6404792
sin;map|map|map|resub|cr-z|map|map;4;105;4153;125;56.59416
sin;map|map|map|resub|cr-z|map|map;5;104;4153;125;3.3623111
sin;map|map|map|resub|cr-z|map|map;6;101;4156;124;1.5355122
sin;map|map|map|resub|cr-z|map|map;7;101;4155;124;1.5822734
sin;map|map|map|resub|cr-z|map|map;8;1;4155;124;0.0
log2;map_l_5;0;0;32060;444;0.0
log2;map_l_5;1;0;32060;444;0.0
log2;map_l_5;2;3;24295;206;0.0
log2;map_l_5;3;1;24295;206;0.0
max;map_l_5;0;0;2865;287;0.0
max;map_l_5;1;0;2865;287;0.0
max;map_l_5;2;3;2171;162;0.0
max;map_l_5;3;1;2171;162;0.0
sqrt;map|map|map|resub|cr-z|map|map;0;0;24618;5058;0.0
sqrt;map|map|map|resub|cr-z|map|map;1;101;20724;5074;26.28422
sqrt;map|map|map|resub|cr-z|map|map;2;101;20374;4904;16.438316
sqrt;map|map|map|resub|cr-z|map|map;3;101;20161;4864;15.382419
sqrt;map|map|map|resub|cr-z|map|map;4;105;18310;7052;27.676731
sqrt;map|map|map|resub|cr-z|map|map;5;104;18310;7052;19.67272
sqrt;map|map|map|resub|cr-z|map|map;6;101;13541;2546;14.967441
sqrt;map|map|map|resub|cr-z|map|map;7;101;13162;2366;5.952811
sqrt;map|map|map|resub|cr-z|map|map;8;1;13162;2366;0.0
adder;map|resub|map_l|cr-z|map_l;0;0;1020;255;0.0
adder;map|resub|map_l|cr-z|map_l;1;101;384;129;0.97326803
adder;map|resub|map_l|cr-z|map_l;2;105;384;129;0.047687534
adder;map|resub|map_l|cr-z|map_l;3;0;1020;255;0.0
adder;map|resub|map_l|cr-z|map_l;4;101;384;129;0.97326803
adder;map|resub|map_l|cr-z|map_l;5;105;384;129;0.047687534
adder;map|resub|map_l|cr-z|map_l;6;3;384;129;0.0
adder;map|resub|map_l|cr-z|map_l;7;104;384;129;0.15206969
adder;map|resub|map_l|cr-z|map_l;8;0;1020;255;0.0
adder;map|resub|map_l|cr-z|map_l;9;101;384;129;0.97326803
adder;map|resub|map_l|cr-z|map_l;10;105;384;129;0.047687534
adder;map|resub|map_l|cr-z|map_l;11;0;1020;255;0.0
adder;map|resub|map_l|cr-z|map_l;12;101;384;129;0.97326803
adder;map|resub|map_l|cr-z|map_l;13;105;384;129;0.047687534
adder;map|resub|map_l|cr-z|map_l;14;3;384;129;0.0
adder;map|resub|map_l|cr-z|map_l;15;104;384;129;0.15206969
adder;map|resub|map_l|cr-z|map_l;16;3;384;129;0.0
adder;map|resub|map_l|cr-z|map_l;17;1;384;129;0.0
square;map|map|map|resub|cr-z|map|map;0;0;18484;250;0.0
square;map|map|map|resub|cr-z|map|map;1;101;12176;126;24.841837
square;map|map|map|resub|cr-z|map|map;2;101;11966;126;6.8425045
square;map|map|map|resub|cr-z|map|map;3;101;11924;126;5.8874283
square;map|map|map|resub|cr-z|map|map;4;105;9573;126;10.51403
square;map|map|map|resub|cr-z|map|map;5;104;9573;126;6.184997
square;map|map|map|resub|cr-z|map|map;6;101;9523;126;3.0441399
square;map|map|map|resub|cr-z|map|map;7;101;9434;128;3.1769364
square;map|map|map|resub|cr-z|map|map;8;1;9434;128;0.0
multiplier;map_l_5;0;0;27062;274;0.0
multiplier;map_l_5;1;0;27062;274;0.0
multiplier;map_l_5;2;3;19299;142;0.0
multiplier;map_l_5;3;1;19299;142;0.0
bar;map|resub|map_l|cr-z|map_l;0;0;3336;12;0.0
bar;map|resub|map_l|cr-z|map_l;1;101;2693;13;2.7887378
bar;map|resub|map_l|cr-z|map_l;2;105;2598;14;3.9312668
bar;map|resub|map_l|cr-z|map_l;3;0;3336;12;0.0
bar;map|resub|map_l|cr-z|map_l;4;101;2693;13;2.7887378
bar;map|resub|map_l|cr-z|map_l;5;105;2598;14;3.9312668
bar;map|resub|map_l|cr-z|map_l;6;3;2480;13;0.0
bar;map|resub|map_l|cr-z|map_l;7;104;2480;13;2.2282686
bar;map|resub|map_l|cr-z|map_l;8;0;3336;12;0.0
bar;map|resub|map_l|cr-z|map_l;9;101;2693;13;2.7887378
bar;map|resub|map_l|cr-z|map_l;10;105;2598;14;3.9312668
bar;map|resub|map_l|cr-z|map_l;11;0;3336;12;0.0
bar;map|resub|map_l|cr-z|map_l;12;101;2693;13;2.7887378
bar;map|resub|map_l|cr-z|map_l;13;105;2598;14;3.9312668
bar;map|resub|map_l|cr-z|map_l;14;3;2480;13;0.0
bar;map|resub|map_l|cr-z|map_l;15;104;2480;13;2.2282686
bar;map|resub|map_l|cr-z|map_l;16;3;2480;13;0.0
bar;map|resub|map_l|cr-z|map_l;17;1;2480;13;0.0
sin;map_l_5;0;0;5416;225;0.0
sin;map_l_5;1;0;5416;225;0.0
sin;map_l_5;2;3;4196;122;0.0
sin;map_l_5;3;1;4196;122;0.0
arbiter;map|map|map|resub|cr-z|map|map;0;0;11839;87;0.0
arbiter;map|map|map|resub|cr-z|map|map;1;101;6996;59;25.678858
arbiter;map|map|map|resub|cr-z|map|map;2;101;6999;60;11.131858
arbiter;map|map|map|resub|cr-z|map|map;3;101;6996;59;10.770362
arbiter;map|map|map|resub|cr-z|map|map;4;105;6868;60;10.558614
arbiter;map|map|map|resub|cr-z|map|map;5;104;6868;60;17.091837
arbiter;map|map|map|resub|cr-z|map|map;6;101;6866;61;10.111337
arbiter;map|map|map|resub|cr-z|map|map;7;101;6866;60;10.749046
arbiter;map|map|map|resub|cr-z|map|map;8;1;6866;60;0.0
sqrt;map_l_3;0;0;24618;5058;0.0
sqrt;map_l_3;1;0;24618;5058;0.0
sqrt;map_l_3;2;3;17355;3846;0.0
sqrt;map_l_3;3;1;17355;3846;0.0
div;map|resub|map_l|cr-z|map_l;0;0;57247;4372;0.0
div;map|resub|map_l|cr-z|map_l;1;101;53113;2425;53.47808
div;map|resub|map_l|cr-z|map_l;2;105;43766;3251;91.21705
div;map|resub|map_l|cr-z|map_l;3;0;57247;4372;0.0
div;map|resub|map_l|cr-z|map_l;4;101;53113;2425;53.47808
div;map|resub|map_l|cr-z|map_l;5;105;43766;3251;91.21705
div;map|resub|map_l|cr-z|map_l;6;3;40023;2507;0.0
div;map|resub|map_l|cr-z|map_l;7;104;40023;2507;34.966003
div;map|resub|map_l|cr-z|map_l;8;0;57247;4372;0.0
div;map|resub|map_l|cr-z|map_l;9;101;53113;2425;53.47808
div;map|resub|map_l|cr-z|map_l;10;105;43766;3251;91.21705
div;map|resub|map_l|cr-z|map_l;11;0;57247;4372;0.0
div;map|resub|map_l|cr-z|map_l;12;101;53113;2425;53.47808
div;map|resub|map_l|cr-z|map_l;13;105;43766;3251;91.21705
div;map|resub|map_l|cr-z|map_l;14;3;40023;2507;0.0
div;map|resub|map_l|cr-z|map_l;15;104;40023;2507;34.966003
div;map|resub|map_l|cr-z|map_l;16;3;40023;2507;0.0
div;map|resub|map_l|cr-z|map_l;17;1;40023;2507;0.0
sqrt;map_l_1;0;0;24618;5058;0.0
sqrt;map_l_1;1;0;24618;5058;0.0
sqrt;map_l_1;2;3;17355;3846;0.0
sqrt;map_l_1;3;1;17355;3846;0.0
cavlc;map|map|map|resub|cr-z|map|map;0;0;693;16;0.0
cavlc;map|map|map|resub|cr-z|map|map;1;101;649;14;0.5930348
cavlc;map|map|map|resub|cr-z|map|map;2;101;630;12;0.39124116
cavlc;map|map|map|resub|cr-z|map|map;3;101;627;13;0.36801264
cavlc;map|map|map|resub|cr-z|map|map;4;105;553;15;411.61716
cavlc;map|map|map|resub|cr-z|map|map;5;104;553;15;0.43396577
cavlc;map|map|map|resub|cr-z|map|map;6;101;553;14;0.3305908
cavlc;map|map|map|resub|cr-z|map|map;7;101;553;14;0.2966408
cavlc;map|map|map|resub|cr-z|map|map;8;1;553;14;0.0
ctrl;map|map|map|resub|cr-z|map|map;0;0;174;10;0.0
ctrl;map|map|map|resub|cr-z|map|map;1;101;115;5;0.13261098
ctrl;map|map|map|resub|cr-z|map|map;2;101;114;5;0.05559956
ctrl;map|map|map|resub|cr-z|map|map;3;101;114;5;0.053154223
ctrl;map|map|map|resub|cr-z|map|map;4;105;81;8;8.973024
ctrl;map|map|map|resub|cr-z|map|map;5;104;81;8;0.04739729
ctrl;map|map|map|resub|cr-z|map|map;6;101;79;8;0.036087815
ctrl;map|map|map|resub|cr-z|map|map;7;101;79;8;0.034902666
ctrl;map|map|map|resub|cr-z|map|map;8;1;79;8;0.0
square;map_l_3;0;0;18484;250;0.0
square;map_l_3;1;0;18484;250;0.0
square;map_l_3;2;3;11924;126;0.0
square;map_l_3;3;1;11924;126;0.0
dec;map|map|map|resub|cr-z|map|map;0;0;304;3;0.0
dec;map|map|map|resub|cr-z|map|map;1;101;304;3;0.10273175
dec;map|map|map|resub|cr-z|map|map;2;101;304;3;0.16558684
dec;map|map|map|resub|cr-z|map|map;3;101;304;3;0.16551001
dec;map|map|map|resub|cr-z|map|map;4;105;304;3;0.15256727
dec;map|map|map|resub|cr-z|map|map;5;104;304;3;0.036275472
dec;map|map|map|resub|cr-z|map|map;6;101;304;3;0.1662333
dec;map|map|map|resub|cr-z|map|map;7;101;304;3;0.16641577
dec;map|map|map|resub|cr-z|map|map;8;1;304;3;0.0
i2c;map|map|map|resub|cr-z|map|map;0;0;1342;20;0.0
i2c;map|map|map|resub|cr-z|map|map;1;101;1229;13;0.92879313
i2c;map|map|map|resub|cr-z|map|map;2;101;1221;13;0.6640234
i2c;map|map|map|resub|cr-z|map|map;3;101;1218;12;0.64477915
i2c;map|map|map|resub|cr-z|map|map;4;105;1138;12;4.751074
i2c;map|map|map|resub|cr-z|map|map;5;104;1138;12;1.2422861
i2c;map|map|map|resub|cr-z|map|map;6;101;1135;12;0.5965369
i2c;map|map|map|resub|cr-z|map|map;7;101;1131;12;0.5617168
i2c;map|map|map|resub|cr-z|map|map;8;1;1131;12;0.0
square;map_l_1;0;0;18484;250;0.0
square;map_l_1;1;0;18484;250;0.0
square;map_l_1;2;3;11924;126;0.0
square;map_l_1;3;1;11924;126;0.0
int2float;map|map|map|resub|cr-z|map|map;0;0;260;16;0.0
int2float;map|map|map|resub|cr-z|map|map;1;101;235;11;0.19833064
int2float;map|map|map|resub|cr-z|map|map;2;101;224;10;0.13258684
int2float;map|map|map|resub|cr-z|map|map;3;101;223;10;0.117401905
int2float;map|map|map|resub|cr-z|map|map;4;105;200;10;4.5338993
int2float;map|map|map|resub|cr-z|map|map;5;104;200;10;0.1867221
int2float;map|map|map|resub|cr-z|map|map;6;101;199;10;0.09252516
int2float;map|map|map|resub|cr-z|map|map;7;101;198;10;0.09518639
int2float;map|map|map|resub|cr-z|map|map;8;1;198;10;0.0
arbiter;map_l_3;0;0;11839;87;0.0
arbiter;map_l_3;1;0;11839;87;0.0
arbiter;map_l_3;2;3;6996;59;0.0
arbiter;map_l_3;3;1;6996;59;0.0
arbiter;map_l_1;0;0;11839;87;0.0
arbiter;map_l_1;1;0;11839;87;0.0
arbiter;map_l_1;2;3;6996;59;0.0
arbiter;map_l_1;3;1;6996;59;0.0
cavlc;map_l_3;0;0;693;16;0.0
cavlc;map_l_3;1;0;693;16;0.0
cavlc;map_l_3;2;3;623;13;0.0
cavlc;map_l_3;3;1;623;13;0.0
cavlc;map_l_1;0;0;693;16;0.0
cavlc;map_l_1;1;0;693;16;0.0
cavlc;map_l_1;2;3;623;13;0.0
cavlc;map_l_1;3;1;623;13;0.0
ctrl;map_l_3;0;0;174;10;0.0
ctrl;map_l_3;1;0;174;10;0.0
ctrl;map_l_3;2;3;114;5;0.0
ctrl;map_l_3;3;1;114;5;0.0
ctrl;map_l_1;0;0;174;10;0.0
ctrl;map_l_1;1;0;174;10;0.0
ctrl;map_l_1;2;3;114;5;0.0
ctrl;map_l_1;3;1;114;5;0.0
dec;map_l_1;0;0;304;3;0.0
dec;map_l_1;1;0;304;3;0.0
dec;map_l_1;2;3;304;3;0.0
dec;map_l_1;3;1;304;3;0.0
dec;map_l_3;0;0;304;3;0.0
dec;map_l_3;1;0;304;3;0.0
dec;map_l_3;2;3;304;3;0.0
dec;map_l_3;3;1;304;3;0.0
i2c;map_l_1;0;0;1342;20;0.0
i2c;map_l_1;1;0;1342;20;0.0
i2c;map_l_1;2;3;1217;12;0.0
i2c;map_l_1;3;1;1217;12;0.0
i2c;map_l_3;0;0;1342;20;0.0
i2c;map_l_3;1;0;1342;20;0.0
i2c;map_l_3;2;3;1217;12;0.0
i2c;map_l_3;3;1;1217;12;0.0
int2float;map_l_1;0;0;260;16;0.0
int2float;map_l_1;1;0;260;16;0.0
int2float;map_l_1;2;3;223;10;0.0
int2float;map_l_1;3;1;223;10;0.0
int2float;map_l_3;0;0;260;16;0.0
int2float;map_l_3;1;0;260;16;0.0
int2float;map_l_3;2;3;223;10;0.0
int2float;map_l_3;3;1;223;10;0.0
div;ref_main5;0;0;57247;4372;0.0
div;ref_main5;1;0;57247;4372;0.0
div;ref_main5;2;3;35225;2201;0.0
div;ref_main5;3;1;35225;2201;0.0
sqrt;map_l_5;0;0;24618;5058;0.0
sqrt;map_l_5;1;0;24618;5058;0.0
sqrt;map_l_5;2;3;17355;3846;0.0
sqrt;map_l_5;3;1;17355;3846;0.0
square;map_l_5;0;0;18484;250;0.0
square;map_l_5;1;0;18484;250;0.0
square;map_l_5;2;3;11924;126;0.0
square;map_l_5;3;1;11924;126;0.0
mem_ctrl;map|map|map|resub|cr-z|map|map;0;0;46836;114;0.0
mem_ctrl;map|map|map|resub|cr-z|map|map;1;101;42071;98;50.125538
mem_ctrl;map|map|map|resub|cr-z|map|map;2;101;41597;97;29.842018
mem_ctrl;map|map|map|resub|cr-z|map|map;3;101;41371;95;30.184772
mem_ctrl;map|map|map|resub|cr-z|map|map;4;105;39560;98;150.52698
mem_ctrl;map|map|map|resub|cr-z|map|map;5;104;39560;98;39.55463
mem_ctrl;map|map|map|resub|cr-z|map|map;6;101;39522;97;26.770594
mem_ctrl;map|map|map|resub|cr-z|map|map;7;101;39464;96;27.017128
mem_ctrl;map|map|map|resub|cr-z|map|map;8;1;39464;96;0.0
mem_ctrl;map_l_1;0;0;46836;114;0.0
mem_ctrl;map_l_1;1;0;46836;114;0.0
mem_ctrl;map_l_1;2;3;41267;94;0.0
mem_ctrl;map_l_1;3;1;41267;94;0.0
hyp;map|resub|map_l|cr-z|map_l;0;0;214335;24801;0.0
hyp;map|resub|map_l|cr-z|map_l;1;101;138143;8956;267.50797
hyp;map|resub|map_l|cr-z|map_l;2;105;126606;8956;54.63482
hyp;map|resub|map_l|cr-z|map_l;3;0;214335;24801;0.0
hyp;map|resub|map_l|cr-z|map_l;4;101;138143;8956;267.50797
hyp;map|resub|map_l|cr-z|map_l;5;105;126606;8956;54.63482
hyp;map|resub|map_l|cr-z|map_l;6;3;126606;8956;0.0
hyp;map|resub|map_l|cr-z|map_l;7;104;126606;8956;50.54423
hyp;map|resub|map_l|cr-z|map_l;8;0;214335;24801;0.0
hyp;map|resub|map_l|cr-z|map_l;9;101;138143;8956;267.50797
hyp;map|resub|map_l|cr-z|map_l;10;105;126606;8956;54.63482
hyp;map|resub|map_l|cr-z|map_l;11;0;214335;24801;0.0
hyp;map|resub|map_l|cr-z|map_l;12;101;138143;8956;267.50797
hyp;map|resub|map_l|cr-z|map_l;13;105;126606;8956;54.63482
hyp;map|resub|map_l|cr-z|map_l;14;3;126606;8956;0.0
hyp;map|resub|map_l|cr-z|map_l;15;104;126606;8956;50.54423
hyp;map|resub|map_l|cr-z|map_l;16;3;126606;8956;0.0
hyp;map|resub|map_l|cr-z|map_l;17;1;126606;8956;0.0
priority;map|map|map|resub|cr-z|map|map;0;0;978;250;0.0
priority;map|map|map|resub|cr-z|map|map;1;101;908;124;0.92475796
priority;map|map|map|resub|cr-z|map|map;2;101;850;123;0.44968554
priority;map|map|map|resub|cr-z|map|map;3;101;833;122;0.39752734
priority;map|map|map|resub|cr-z|map|map;4;105;623;121;0.18799762
priority;map|map|map|resub|cr-z|map|map;5;104;623;121;0.7066424
priority;map|map|map|resub|cr-z|map|map;6;101;619;120;0.2643508
priority;map|map|map|resub|cr-z|map|map;7;101;599;117;0.4401109
priority;map|map|map|resub|cr-z|map|map;8;1;599;117;0.0
router;map|map|map|resub|cr-z|map|map;0;0;257;54;0.0
router;map|map|map|resub|cr-z|map|map;1;101;218;47;0.29607964
router;map|map|map|resub|cr-z|map|map;2;101;208;45;0.16262768
router;map|map|map|resub|cr-z|map|map;3;101;207;43;0.10242134
router;map|map|map|resub|cr-z|map|map;4;105;197;43;0.1193935
router;map|map|map|resub|cr-z|map|map;5;104;197;43;0.19330312
router;map|map|map|resub|cr-z|map|map;6;101;192;42;0.10537084
router;map|map|map|resub|cr-z|map|map;7;101;191;42;0.104786575
router;map|map|map|resub|cr-z|map|map;8;1;191;42;0.0
priority;map_l_1;0;0;978;250;0.0
priority;map_l_1;1;0;978;250;0.0
priority;map_l_1;2;3;808;117;0.0
priority;map_l_1;3;1;808;117;0.0
router;map_l_1;0;0;257;54;0.0
router;map_l_1;1;0;257;54;0.0
router;map_l_1;2;3;207;43;0.0
router;map_l_1;3;1;207;43;0.0
arbiter;map_l_5;0;0;11839;87;0.0
arbiter;map_l_5;1;0;11839;87;0.0
arbiter;map_l_5;2;3;6996;59;0.0
arbiter;map_l_5;3;1;6996;59;0.0
voter;map|map|map|resub|cr-z|map|map;0;0;13758;70;0.0
voter;map|map|map|resub|cr-z|map|map;1;101;7219;54;16.102512
voter;map|map|map|resub|cr-z|map|map;2;101;6573;54;3.791111
voter;map|map|map|resub|cr-z|map|map;3;101;6104;52;3.64425
voter;map|map|map|resub|cr-z|map|map;4;105;5325;46;5.4343557
voter;map|map|map|resub|cr-z|map|map;5;104;5325;46;4.236175
voter;map|map|map|resub|cr-z|map|map;6;101;5042;45;2.3650572
voter;map|map|map|resub|cr-z|map|map;7;101;5005;43;2.8051016
voter;map|map|map|resub|cr-z|map|map;8;1;5005;43;0.0
cavlc;map_l_5;0;0;693;16;0.0
cavlc;map_l_5;1;0;693;16;0.0
cavlc;map_l_5;2;3;623;13;0.0
cavlc;map_l_5;3;1;623;13;0.0
voter;map_l_1;0;0;13758;70;0.0
voter;map_l_1;1;0;13758;70;0.0
voter;map_l_1;2;3;5802;49;0.0
voter;map_l_1;3;1;5802;49;0.0
ctrl;map_l_5;0;0;174;10;0.0
ctrl;map_l_5;1;0;174;10;0.0
ctrl;map_l_5;2;3;114;5;0.0
ctrl;map_l_5;3;1;114;5;0.0
dec;map_l_5;0;0;304;3;0.0
dec;map_l_5;1;0;304;3;0.0
dec;map_l_5;2;3;304;3;0.0
dec;map_l_5;3;1;304;3;0.0
mem_ctrl;map_l_3;0;0;46836;114;0.0
mem_ctrl;map_l_3;1;0;46836;114;0.0
mem_ctrl;map_l_3;2;3;41267;94;0.0
mem_ctrl;map_l_3;3;1;41267;94;0.0
i2c;map_l_5;0;0;1342;20;0.0
i2c;map_l_5;1;0;1342;20;0.0
i2c;map_l_5;2;3;1217;12;0.0
i2c;map_l_5;3;1;1217;12;0.0
priority;map_l_3;0;0;978;250;0.0
priority;map_l_3;1;0;978;250;0.0
priority;map_l_3;2;3;808;117;0.0
priority;map_l_3;3;1;808;117;0.0
int2float;map_l_5;0;0;260;16;0.0
int2float;map_l_5;1;0;260;16;0.0
int2float;map_l_5;2;3;223;10;0.0
int2float;map_l_5;3;1;223;10;0.0
log2;map|resub|map_l|cr-z|map_l;0;0;32060;444;0.0
log2;map|resub|map_l|cr-z|map_l;1;101;24295;206;47.535355
log2;map|resub|map_l|cr-z|map_l;2;105;24125;210;26.83063
log2;map|resub|map_l|cr-z|map_l;3;0;32060;444;0.0
log2;map|resub|map_l|cr-z|map_l;4;101;24295;206;47.535355
log2;map|resub|map_l|cr-z|map_l;5;105;24125;210;26.83063
log2;map|resub|map_l|cr-z|map_l;6;3;24125;210;0.0
log2;map|resub|map_l|cr-z|map_l;7;104;24125;210;24.990814
log2;map|resub|map_l|cr-z|map_l;8;0;32060;444;0.0
log2;map|resub|map_l|cr-z|map_l;9;101;24295;206;47.535355
log2;map|resub|map_l|cr-z|map_l;10;105;24125;210;26.83063
log2;map|resub|map_l|cr-z|map_l;11;0;32060;444;0.0
log2;map|resub|map_l|cr-z|map_l;12;101;24295;206;47.535355
log2;map|resub|map_l|cr-z|map_l;13;105;24125;210;26.83063
log2;map|resub|map_l|cr-z|map_l;14;3;24125;210;0.0
log2;map|resub|map_l|cr-z|map_l;15;104;24125;210;24.990814
log2;map|resub|map_l|cr-z|map_l;16;3;24125;210;0.0
log2;map|resub|map_l|cr-z|map_l;17;1;24125;210;0.0
router;map_l_3;0;0;257;54;0.0
router;map_l_3;1;0;257;54;0.0
router;map_l_3;2;3;207;43;0.0
router;map_l_3;3;1;207;43;0.0
max;map|resub|map_l|cr-z|map_l;0;0;2865;287;0.0
max;map|resub|map_l|cr-z|map_l;1;101;2413;158;2.9410543
max;map|resub|map_l|cr-z|map_l;2;105;2412;158;0.8140225
max;map|resub|map_l|cr-z|map_l;3;0;2865;287;0.0
max;map|resub|map_l|cr-z|map_l;4;101;2413;158;2.9410543
max;map|resub|map_l|cr-z|map_l;5;105;2412;158;0.8140225
max;map|resub|map_l|cr-z|map_l;6;3;2170;162;0.0
max;map|resub|map_l|cr-z|map_l;7;104;2170;162;2.479373
max;map|resub|map_l|cr-z|map_l;8;0;2865;287;0.0
max;map|resub|map_l|cr-z|map_l;9;101;2413;158;2.9410543
max;map|resub|map_l|cr-z|map_l;10;105;2412;158;0.8140225
max;map|resub|map_l|cr-z|map_l;11;0;2865;287;0.0
max;map|resub|map_l|cr-z|map_l;12;101;2413;158;2.9410543
max;map|resub|map_l|cr-z|map_l;13;105;2412;158;0.8140225
