benchmark;flow;op_num;op_type;size;depth;runtime
div;map;map;map;resub;cr-z;map;map;1;101;53113;2425;33.188683
div;map;map;map;resub;cr-z;map;map;2;101;45961;4067;21.201149
div;map;map;map;resub;cr-z;map;map;3;101;37047;2251;15.935206
div;map;map;map;resub;cr-z;map;map;4;105;36479;2282;35.851128
div;map;map;map;resub;cr-z;map;map;5;104;36479;2282;16.756891
div;map;map;map;resub;cr-z;map;map;6;101;35904;2232;8.723481
div;map;map;map;resub;cr-z;map;map;7;101;35860;2204;8.181105
div;map;map;map;resub;cr-z;map;map;8;1;35860;2204;0.0
adder;ref_main5;0;0;1020;255;0.0
adder;ref_main5;1;0;1020;255;0.0
adder;ref_main5;2;3;384;129;0.0
adder;ref_main5;3;1;384;129;0.0
bar;ref_main5;0;0;3336;12;0.0
bar;ref_main5;1;0;3336;12;0.0
bar;ref_main5;2;3;2496;14;0.0
bar;ref_main5;3;1;2496;14;0.0
sqrt;map_l_3;0;0;24618;5058;0.0
sqrt;map_l_3;1;0;24618;5058;0.0
sqrt;map_l_3;2;3;17355;3846;0.0
sqrt;map_l_3;3;1;17355;3846;0.0
hyp;map;map;map;resub;cr-z;map;map;0;0;214335;24801;0.0
hyp;map;map;map;resub;cr-z;map;map;1;101;138143;8956;169.99217
hyp;map;map;map;resub;cr-z;map;map;2;101;137670;8908;34.02517
hyp;map;map;map;resub;cr-z;map;map;3;101;137054;8885;33.449024
hyp;map;map;map;resub;cr-z;map;map;4;105;127223;8884;57.399292
hyp;map;map;map;resub;cr-z;map;map;5;104;127223;8884;50.19717
hyp;map;map;map;resub;cr-z;map;map;6;101;127510;8883;27.296917
hyp;map;map;map;resub;cr-z;map;map;7;101;127293;8883;27.294758
hyp;map;map;map;resub;cr-z;map;map;8;1;127293;8883;0.0
square;map_l_3;0;0;18484;250;0.0
square;map_l_3;1;0;18484;250;0.0
square;map_l_3;2;3;11924;126;0.0
square;map_l_3;3;1;11924;126;0.0
sqrt;map_l_3;0;0;24618;5058;0.0
sqrt;map_l_3;1;0;24618;5058;0.0
sqrt;map_l_3;2;3;17355;3846;0.0
sqrt;map_l_3;3;1;17355;3846;0.0
arbiter;map_l_3;0;0;11839;87;0.0
arbiter;map_l_3;1;0;11839;87;0.0
arbiter;map_l_3;2;3;6996;59;0.0
arbiter;map_l_3;3;1;6996;59;0.0
cavlc;map_l_3;0;0;693;16;0.0
cavlc;map_l_3;1;0;693;16;0.0
cavlc;map_l_3;2;3;623;13;0.0
cavlc;map_l_3;3;1;623;13;0.0
ctrl;map_l_3;0;0;174;10;0.0
ctrl;map_l_3;1;0;174;10;0.0
ctrl;map_l_3;2;3;114;5;0.0
ctrl;map_l_3;3;1;114;5;0.0
dec;map_l_3;0;0;304;3;0.0
dec;map_l_3;1;0;304;3;0.0
dec;map_l_3;2;3;304;3;0.0
dec;map_l_3;3;1;304;3;0.0
log2;map;map;map;resub;cr-z;map;map;0;0;32060;444;0.0
log2;map;map;map;resub;cr-z;map;map;1;101;24295;206;46.839874
log2;map;map;map;resub;cr-z;map;map;2;101;24329;210;16.00826
