benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main3;1020;384;255;129;0.0697603
bar;main3;3336;2588;12;13;2.0492456
div;main3;57247;36875;4372;2238;17.275291
hyp;main3;214335;137054;24801;8885;45.29061
log2;main3;32060;24295;444;206;9.811941
max;main3;2865;2171;287;162;1.9543576
multiplier;main3;27062;19299;274;142;6.868086
sin;main3;5416;4196;225;122;2.2019649
sqrt;main3;24618;17355;5058;3846;56.54845
square;main3;18484;11924;250;126;4.266163
arbiter;main3;11839;6996;87;59;4.8078494
cavlc;main3;693;623;16;13;0.22741516
ctrl;main3;174;114;10;5;0.025588531
dec;main3;304;304;3;3;0.014042911
i2c;main3;1342;1217;20;12;0.350356
int2float;main3;260;223;16;10;0.056647204
mem_ctrl;main3;46836;41267;114;94;26.408314
priority;main3;978;808;250;117;0.34204492
router;main3;257;207;54;43;0.05804482
voter;main3;13758;5802;70;49;3.1711106
