benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main5;1020;384;255;129;0.09012219
bar;main5;3336;2496;12;14;2.3705423
div;main5;57247;35225;4372;2201;83.555885
hyp;main5;214335;124005;24801;8884;559.24866
log2;main5;32060;24119;444;210;38.119698
max;main5;2865;2168;287;162;2.9639106
multiplier;main5;27062;19150;274;149;21.4116
sin;main5;5416;4149;225;123;12.138985
sqrt;main5;24618;12974;5058;2299;88.7884
square;main5;18484;9149;250;126;8.746834
arbiter;main5;11839;4513;87;21;8.296471
cavlc;main5;693;524;16;13;15.724318
ctrl;main5;174;73;10;13;0.38284457
dec;main5;304;304;3;3;0.026203435
i2c;main5;1342;1121;20;12;0.96246123
int2float;main5;260;197;16;10;0.32765538
mem_ctrl;main5;46836;38867;114;97;103.65311
priority;main5;978;542;250;117;0.576864
router;main5;257;190;54;42;0.13326067
voter;main5;13758;4253;70;48;5.8702874
