benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main4;1020;384;255;129;0.12662089
bar;main4;3336;2588;12;13;2.174518
div;main4;57247;36875;4372;2238;20.83403
hyp;main4;214335;137054;24801;8885;56.487633
log2;main4;32060;24295;444;206;11.3139715
max;main4;2865;2171;287;162;1.9844023
multiplier;main4;27062;19299;274;142;7.64742
sin;main4;5416;4196;225;122;2.4375472
sqrt;main4;24618;17355;5058;3846;57.43212
square;main4;18484;11924;250;126;5.1275787
arbiter;main4;11839;6996;87;59;5.5465226
cavlc;main4;693;623;16;13;0.24025652
ctrl;main4;174;114;10;5;0.031617913
dec;main4;304;304;3;3;0.013762551
i2c;main4;1342;1217;20;12;0.37530166
int2float;main4;260;223;16;10;0.06174865
mem_ctrl;main4;46836;41267;114;94;27.808245
priority;main4;978;808;250;117;0.3688098
router;main4;257;207;54;43;0.06976399
voter;main4;13758;5802;70;49;3.8341763
